Reporting Period,Out-of-Home Placement Total,Family Foster,Runaway/Absconded,No Identified Placement,Missing Child,Unresolved Placement Total,Identified Placement Total,Operational Placement Completion
"2015 - March 31, 2016",18903,6457,368,286,,654,18249,96.54
"September 30, 2016",17984,6169,330,127,,457,17527,97.46
"2016 - March 31, 2017",16899,5842,329,99,,428,16471,97.47
"September 30, 2017",15840,5641,292,122,,414,15426,97.39
"2017 - March 31, 2018",14929,5326,274,138,,412,14517,97.24
"January 1, 2018 - June 30, 2018",14491,6369,272,70,,342,14149,97.64
"December 31, 2018",13782,5406,245,161,,406,13376,97.05
"January 1, 2019 - June 30, 2019",14205,6116,210,48,47,305,13900,97.85
"December 31, 2019",14142,5268,244,60,44,348,13794,97.54
"January 1, 2020 - June 30, 2020",14152,5093,250,26,42,318,13834,97.75
"December 31, 2020",14461,4807,226,154,35,415,14046,97.13
"January 1, 2021 - June 30, 2021",14767,4365,127,1614,32,1773,12994,87.99
"December 31, 2021",14015,3963,160,1423,27,1610,12405,88.51
"January 1, 2022 - June 30, 2022",12546,3724,111,257,29,397,12149,96.84
"December 31, 2022",11696,3312,142,387,33,562,11134,95.19
"January 1, 2023 - June 30, 2023",10900,3054,139,282,37,458,10442,95.80
"December 31, 2023",9999,2721,130,249,22,401,9598,95.99
"January 1, 2024 - June 30, 2024",7915,2461,124,364,23,511,7404,93.54
"December 31, 2024",8719,2265,95,379,18,492,8227,94.36
"January 1, 2025 - June 30, 2025",8376,2093,109,320,12,441,7935,94.73
"December 31, 2025",6858,1994,95,142,17,254,6604,96.30
