Year,Period,Relative,Family Foster,Group Home,Residential Treatment,Independent Living,Trial Home Visit,Runaway/Absconded,No Identified Placement,Missing Child,Out-of-Home Placement Total (Placement),Reunification,Living with Other Relative,Guardianship,Adoption,Reporting Period Ending,Runaway Period Ending (1),Runaway Period Ending (2),Age of Majority,Transfer to Other Agency,Death of a Child,Out-of-Home Placement Total (Exit),Termination of Parental Rights,Removal Total
2015/2016,"October 1, 2015 - March 31, 2016",8506,6457,1961,797,502,26,368,286,,18903,3036,33,323,1727,5668,25,25,432,84,10,11338,2469,6797
2016,"April 1, 2016 - September 30, 2016",8166,6169,1917,745,511,19,330,127,,17984,3386,29,356,1936,6377,48,48,504,115,11,12762,2894,6141
2016/2017,"October 1, 2016 - March 31, 2017",7558,5842,1855,688,516,12,329,99,,16899,2954,16,376,2195,6153,18,18,506,80,10,12308,2901,5669
2017,"April 1, 2017 - September 30, 2017",6871,5641,1817,570,494,33,292,122,,15840,2796,27,356,2110,5874,30,30,476,70,8,11747,3095,5236
2017/2018,"October 1, 2017 - March 31, 2018",6419,5326,1741,524,492,15,274,138,,14929,2575,17,359,1932,5412,26,26,438,59,12,10830,3013,4331
2018,"January 1, 2018 - June 30, 2018",5073,6369,1665,568,455,19,272,70,,14491,2625,22,408,1744,5393,35,35,480,71,10,10788,2941,4797
2018,"July 1, 2018 - December 31, 2018",5430,5406,1425,652,455,8,245,161,,13782,2303,15,378,1990,5254,27,27,448,84,9,10508,2547,4559
2019,"January 1, 2019 - June 30, 2019",4962,6116,1726,606,478,12,210,48,47,14205,2123,13,384,1539,4513,20,20,353,71,10,9026,2705,4970
2019,"July 1, 2019 - December 31, 2019",5682,5268,1783,515,544,2,244,60,44,14142,2451,27,386,1680,4960,18,18,334,54,10,9920,2325,4950
2020,"January 1, 2020 - June 30, 2020",5869,5093,1793,449,628,2,250,26,42,14152,2326,23,433,1338,4580,15,15,355,78,14,9162,1651,4616
2020,"July 1, 2020 - December 31, 2020",6432,4807,1756,424,625,2,226,154,35,14461,2274,22,440,1389,4716,19,19,393,73,11,9337,1672,4967
2021,"January 1, 2021 - June 30, 2021",5939,4365,1777,200,712,1,127,1614,32,14767,1981,27,293,1094,3639,8,8,181,49,7,7279,1720,4144
2021,"July 1, 2021 - December 31, 2021",5959,3963,1700,141,642,0,160,1423,27,14015,2210,27,341,1284,4308,13,13,378,39,16,8616,1905,3894
2022,"January 1, 2022 - June 30, 2022",5682,3724,1945,179,619,0,111,257,29,12546,2128,44,360,1285,4288,13,13,386,62,10,8576,1597,3415
2022,"July 1, 2022 - December 31, 2022",5353,3312,1619,242,608,0,142,387,33,11696,1915,26,422,1349,4194,12,12,383,72,15,8388,1554,3274
2023,"January 1, 2023 - June 30, 2023",4911,3054,1627,221,624,5,139,282,37,10900,1763,25,546,1056,3827,5,5,363,60,9,7654,1506,2993
2023,"July 1, 2023 - December 31, 2023",4439,2721,1588,215,633,2,130,249,22,9999,1755,8,563,1023,3731,10,10,329,33,10,7462,1334,2790
2024,"January 1, 2024 - June 30, 2024",4052,2461,1,242,645,3,124,364,23,7915,1699,14,619,771,3492,0,0,327,54,8,6984,1426,2686
2024,"July 1, 2024 - December 31, 2024",3698,2265,1319,246,693,6,95,379,18,8719,1594,8,473,912,3329,1,1,303,32,6,6658,942,2776
2025,"January 1, 2025 - June 30, 2025",3473,2093,1350,238,776,5,109,320,12,8376,1423,4,440,667,2862,3,3,284,38,3,5724,731,2483
2025,"July 1, 2025 - December 31, 2025",3482,1994,1,268,850,9,95,142,17,6858,1336,8,399,683,2747,1,1,262,46,12,5494,772,2514
