| Year | Period | Relative | Family Foster | Group Home | Residential Treatment | Independent Living | Trial Home Visit | Runaway / Absconded | No Identified Placement | Missing Child | Out-of-Home Placement Total | Percent of Totals |
|---|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| 2015 / 2016 | October 1, 2015 - March 31, 2016 | 8,506 | 6,457 | 1,961 | 797 | 502 | 26 | 368 | 286 |  | **18,903** | **100.00%** |
| 2016 | April 1, 2016 - September 30, 2016 | 8,166 | 6,169 | 1,917 | 745 | 511 | 19 | 330 | 127 |  | **17,984** | **100.00%** |
| 2016 / 2017 | October 1, 2016 - March 31, 2017 | 7,558 | 5,842 | 1,855 | 688 | 516 | 12 | 329 | 99 |  | **16,899** | **100.00%** |
| 2017 | April 1, 2017 - September 30, 2017 | 6,871 | 5,641 | 1,817 | 570 | 494 | 33 | 292 | 122 |  | **15,840** | **100.00%** |
| 2017 / 2018 | October 1, 2017 - March 31, 2018 | 6,419 | 5,326 | 1,741 | 524 | 492 | 15 | 274 | 138 |  | **14,929** | **100.00%** |
| 2018 | January 1, 2018 - June 30, 2018 | 5,073 | 6,369 | 1,665 | 568 | 455 | 19 | 272 | 70 |  | **14,491** | **100.00%** |
| 2018 | July 1, 2018 - December 31, 2018 | 5,430 | 5,406 | 1,425 | 652 | 455 | 8 | 245 | 161 |  | **13,782** | **100.00%** |
| 2019 | January 1, 2019 - June 30, 2019 | 4,962 | 6,116 | 1,726 | 606 | 478 | 12 | 210 | 48 | 47 | **14,205** | **100.00%** |
| 2019 | July 1, 2019 - December 31, 2019 | 5,682 | 5,268 | 1,783 | 515 | 544 | 2 | 244 | 60 | 44 | **14,142** | **100.00%** |
| 2020 | January 1, 2020 - June 30, 2020 | 5,869 | 5,093 | 1,793 | 449 | 628 | 2 | 250 | 26 | 42 | **14,152** | **100.00%** |
| 2020 | July 1, 2020 - December 31, 2020 | 6,432 | 4,807 | 1,756 | 424 | 625 | 2 | 226 | 154 | 35 | **14,461** | **100.00%** |
| **FAMILY FOSTER BOTTLENECK** | **2021 STRUCTURAL BREAK** |  |  |  |  |  |  |  |  |  |  |  |
| **2021** | **January 1, 2021 - June 30, 2021** | **5,939** | **4,365** | **1,777** | **200** | **712** | **1** | **127** | **1,614** | **32** | **14,767** | **100.00%** |
| 2021 | July 1, 2021 - December 31, 2021 | 5,959 | 3,963 | 1,700 | 141 | 642 | 0 | 160 | 1,423 | 27 | **14,015** | **100.00%** |
| 2022 | January 1, 2022 - June 30, 2022 | 5,682 | 3,724 | 1,945 | 179 | 619 | 0 | 111 | 257 | 29 | **12,546** | **100.00%** |
| 2022 | July 1, 2022 - December 31, 2022 | 5,353 | 3,312 | 1,619 | 242 | 608 | 0 | 142 | 387 | 33 | **11,696** | **100.00%** |
| 2023 | January 1, 2023 - June 30, 2023 | 4,911 | 3,054 | 1,627 | 221 | 624 | 5 | 139 | 282 | 37 | **10,900** | **100.00%** |
| 2023 | July 1, 2023 - December 31, 2023 | 4,439 | 2,721 | 1,588 | 215 | 633 | 2 | 130 | 249 | 22 | **9,999** | **100.00%** |
| 2024 | January 1, 2024 - June 30, 2024 | 4,052 | 2,461 | 1,308 | 242 | 645 | 3 | 124 | 364 | 23 | **7,915** | **100.00%** |
| 2024 | July 1, 2024 - December 31, 2024 | 3,698 | 2,265 | 1,319 | 246 | 693 | 6 | 95 | 379 | 18 | **8,719** | **100.00%** |
| 2025 | January 1, 2025 - June 30, 2025 | 3,473 | 2,093 | 1,350 | 238 | 776 | 5 | 109 | 320 | 12 | **8,376** | **100.00%** |
| 2025 | July 1, 2025 - December 31, 2025 | 3,482 | 1,994 | 1,326 | 268 | 850 | 9 | 95 | 142 | 17 | **6,858** | **100.00%** |
